N2_thermo_1D,cp,h,u,mu,k
374.8743718592965,1043.367826968245,389219.0767793917,277931.6476786463,2.117312461906478e-05,0.03115255406633028
375.8793969849246,1043.4215314773594,390267.71458259644,278681.58679494733,2.1215121380240612e-05,0.031219458535544364
376.88442211055275,1043.476017698031,391316.40675278427,279431.5828271389,2.1257067996242676e-05,0.031286298038435224
377.8894472361809,1043.5312882119745,392365.15407689556,280181.63653953944,2.1298964636993444e-05,0.03135307279424793
378.894472361809,1043.5873455572748,393413.9573444441,280931.74869930395,2.1340811471610202e-05,0.031419783021239864
379.8994974874372,1043.6441922279425,394462.81734747207,281681.9200763753,2.1382608668409815e-05,0.03148642893668582
380.9045226130653,1043.7018306734842,395511.73488050577,282432.1514434365,2.1424356394913422e-05,0.0315530107568832
381.90954773869345,1043.7602632984922,396560.7107405112,283182.4435758624,2.1466054817851183e-05,0.03161952869715722
382.9145728643216,1043.8194924622505,397609.74572684785,283932.79725166986,2.150770410316689e-05,0.031685982971865936
383.9195979899497,1043.8795204783573,398658.84064122377,284683.2132514692,2.154930441602263e-05,0.03175237379440543
384.9246231155779,1043.9403496143639,399707.99628764926,285433.6923584144,2.1590855920803395e-05,0.031818701377214854
385.929648241206,1044.0019820914333,400757.21347238927,286184.2353581527,2.1632358781121622e-05,0.031884965931781445
386.93467336683415,1044.064420084009,401806.4930039191,286934.8430387757,2.1673813159821793e-05,0.031951167668645655
387.9396984924623,1044.127665719505,402855.8356928745,287685.5161907675,2.1715219218984885e-05,0.032017306797406025
388.94472361809045,1044.1917210780114,403905.2423520067,288436.2556069551,2.175657711993293e-05,0.03208338352672427
389.9497487437186,1044.2565881920111,404954.71379613265,289187.0620824568,2.179788702323342e-05,0.03214939806433022
390.9547738693467,1044.3222690461184,406004.25084208825,289937.93641463114,2.1839149088703767e-05,0.03221535061702672
391.95979899497485,1044.388765576828,407053.8543086803,290688.8794030264,2.1880363475415697e-05,0.032281241390694576
392.964824120603,1044.4560796722808,408103.5250166369,291439.89184932807,2.1921530341699612e-05,0.0323470705902974
393.96984924623115,1044.5242131720436,409153.2637885596,292190.9745573072,2.1962649845148956e-05,0.03241283841988655
394.9748743718593,1044.593167866907,410203.07144887437,292942.12833276927,2.200372214262452e-05,0.03247854508260587
395.9798994974874,1044.662945498693,411252.9488237823,293693.35398350167,2.2044747390258736e-05,0.03254419078069657
396.98492462311555,1044.733547760079,412302.8967412105,294444.6523192216,2.208572574345995e-05,0.03260977571550207
397.9899497487437,1044.804976294436,413352.91603076237,295196.0241515238,2.212665735691661e-05,0.03267530008747258
398.99497487437185,1044.8772326956819,414403.0075236678,295947.47029382776,2.216754238460156e-05,0.032740764096170084
400.0,1044.950318508144,415453.17205273453,296698.9915613266,2.2208380979776116e-05,0.03280616794027289
