Position X [mm],Radius Y [mm],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],Channel Width [mm],Channel Height [mm],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Heat Flux [MW/m2],Coolant Velocity [m/s],Coolant Density [kg/m3],Coolant Quality
1.0811791575650938,14.045287752065603,1.134303472381965,3028.8038594544664,9397.879153299304,1.0033462858329436,0.75,954.2865176896709,304.4177417120288,299.5944822802653,58.33278283575113,19.49606327932926,38.30235716807996,497.8771888328073,0.1768529211973744
1.1875514786552495,14.068491004548292,1.1480107942524296,3028.125004143332,9362.040760768392,1.005904011009751,0.75,952.247729714851,304.4328077964434,299.6084420222817,58.35099376153391,19.434447657552226,38.0731802663115,499.60052125602294,0.1750091379552454
1.2934269799731153,14.093865003850198,1.161754718230518,3027.4391600479853,9323.692817201603,1.0087010204763844,0.75,950.0751316922774,304.4516626958406,299.62219035982264,58.368943617873306,19.368704069893102,37.837273090149125,501.32145112374315,0.17317598837409048
1.398761367824144,14.121399134596087,1.175531669424114,3026.7465544253496,9282.895375177231,1.011736144086008,0.75,947.7647528995292,304.4657345508069,299.6357122100766,58.386626092569216,19.298970550461668,37.59497379482694,503.03884864179594,0.17135437340059523
1.5035105748920736,14.15108187770589,1.1893381575556259,3026.0474167437205,9239.71201000736,1.0150081120752064,0.75,945.3239836700245,304.48114053419863,299.6490005567312,58.404021577663485,19.225285294074776,37.34661540420576,504.75172903034456,0.16954536168248813
1.607630778674774,14.182900815213786,1.2031683651613012,3025.3421017420033,9194.211030585293,1.0185155555952008,0.75,942.7570374658123,304.49948512913454,299.66204576889805,58.42112083051792,19.147726570100332,37.09254087028361,506.45904023156373,0.1677498826381785
1.7110784198176716,14.216842635463339,1.2170244065607372,3024.63056468124,9146.45911890834,1.022257007284515,0.75,940.0645310724807,304.51793083689995,299.67483972560296,58.437911237758016,19.066398007067423,36.83309553933375,508.1597492352703,0.16596890562654223
1.8138102203370823,14.252893138676507,1.2308986436164353,3023.9132646168387,9096.531635328187,1.0262309018828553,0.75,937.2451914215217,304.53045341317124,299.68737302855584,58.45438212221364,18.981442140250515,36.56863005333468,509.85278845219386,0.16420336638616115
1.9157832017258352,14.291037242894218,1.2447879508464743,3023.1904362391956,9044.503865756846,1.0304355768859474,0.75,934.3097659620455,304.54678938116433,299.6996394525401,58.47052115618491,18.892889297426432,36.299493228843524,511.53714009201724,0.16245421198094961
2.016954702933607,14.331258990286003,1.2586890024449675,3022.462329516143,8990.453570628786,1.0348692732410556,0.75,931.2636031824591,304.56943464709104,299.7116385211855,58.48632009275677,18.80082505606104,36.026027026058685,513.2118965519221,0.16072233130585056
2.016954702933607,14.331258990286003,1.2586890024449675,3022.462329516143,8990.453570628786,1.0348692732410556,0.75,931.2636031824591,304.56943464709104,299.7116385211855,58.501778089477774,18.80082505606104,36.026027026058685,513.2118965519221,0.15900850312033346
2.5559676941382063,14.551647357573941,1.3251858230138702,3018.917613417236,8706.725673707459,1.059162974139597,0.75,915.2055920699095,304.6574765248499,299.77081317569883,58.501778089477774,18.316443466351785,34.59906897764001,522.1212568795642,0.15900850311995057
3.0932038197875897,14.770684691853479,1.3806988146900478,3015.8853065191943,8441.917824116283,1.083307748884667,0.75,900.1134545287002,304.7410508926314,299.82550119958677,58.57806015939757,17.861172109082066,33.255052153616724,531.1156453917193,0.15002222931108478
3.628663079881759,14.988370993124626,1.4292899419372809,3013.1812751103253,8192.877443567015,1.107303597476266,0.75,885.7943593529042,304.813683491285,299.876128799329,58.64863156704407,17.429420275848575,31.98697363060858,540.2051430765738,0.1411825603867607
4.162345474420712,15.20470626138737,1.4729672277010524,3010.714253312367,7957.668999578768,1.1311505199143923,0.75,872.1571455052084,304.89282548434653,299.9231040335179,58.71402591010469,17.017929600625855,30.788597966986742,549.3995073415373,0.13248287563687014
4.69425100340445,15.419690496641723,1.512903565937831,3008.4307137785786,7734.894229384981,1.1548485161990483,0.75,859.1184966473378,304.9617411328353,299.96675924060503,58.77475654467198,16.624702665435073,29.65440972733078,558.7072067212758,0.12391710449012137
5.224379666832973,15.633323698887677,1.54985430898439,3006.2960369516236,7523.4525987501875,1.178397586330233,0.75,846.6324670681461,305.02825049261423,300.0074014561365,58.8312415990408,16.248126497265954,28.57945907122938,568.1365490427551,0.11548043293232739
5.75273146470628,15.845605868125235,1.5843504078131008,3004.2856422431755,7322.425982846134,1.2017977303079457,0.75,834.6485368481121,305.0816330517159,300.0452848149421,58.883868598547004,15.887007113891887,27.55932157834753,577.695089381827,0.10716832666176328
6.279306397024373,16.056537004354396,1.6167689938224776,3002.3820548720287,7131.034028834253,1.2250489481321871,0.75,823.1441948622185,305.13688364042207,300.08065528150297,58.93295833964008,15.540219336653893,26.589987041715233,587.3906245429101,0.09897701024080219
6.80410446378725,16.26611710757516,1.647399166022469,3000.571731237574,6948.591214644437,1.2481512398029573,0.75,812.0801311488248,305.18234762549713,300.1137189489643,58.97882248731126,15.20693350569983,25.66784443901277,597.2304837139906,0.09090264214685922
7.327125664994913,16.474346177787528,1.6764660251172712,2998.84404036211,6774.489030882929,1.2711046053202557,0.75,801.4384492671156,305.22844682465376,300.1446724687052,59.02172224603639,14.886300073273857,24.78960711291063,607.2222012588967,0.08294190705698246
7.848370000647359,16.6812242149915,1.7041492096133617,2997.190425009949,6608.181551719348,1.2939090446840826,0.75,791.1913986418947,305.26999633668726,300.1736864522487,59.06190759462593,14.577642069156225,23.952293675104816,617.373126552674,0.07509147130330457
8.36783747074459,16.886751219187072,1.7305950039438955,2995.6038538229495,6449.175108650356,1.3165645578944383,0.75,781.3192954530253,305.30900020941993,300.2009152332507,59.09959558335761,14.280308857308162,23.153186624241947,627.6906301796482,0.06734831427644478
8.885528075286608,17.090927190374256,1.7559257306525502,2994.0783786015795,6297.019907337174,1.3390711449513228,0.75,770.3643473222588,303.6052965492294,300.22649732496984,59.134982848552504,14.002771523190882,22.389579394119636,638.1885249039934,0.05970957006054834
9.401441814273412,17.293752128553034,1.7802373599113064,2992.6093656617004,6151.3085910133905,1.361428805854736,0.75,761.6660281763018,304.22533091170106,300.2505582962681,59.168246084958454,13.72322091793802,21.65950920854607,648.8660190420238,0.05216803295438864
9.915578687704995,17.495226033723423,1.8036255202215143,2991.1919872413964,6011.659266080343,1.3836375406046775,0.75,753.0946945658538,304.605416969112,300.2732118814212,59.199545681495586,13.454678327902254,20.960857653101854,659.7314570888083,0.04472717215020979
10.427938695581368,17.695348905885407,1.8261598817045974,2989.8228149680363,5877.727589977888,1.4056973492011469,0.75,744.7108258756102,304.8389365129873,300.2945613174469,59.229027080292916,13.196156680878687,20.29168933983486,670.7930390241594,0.03738390460770291
10.938521837902524,17.894120745039,1.847905116557072,2988.49858842563,5749.193098278391,1.4276082316441452,0.75,736.5613494902248,305.0006150954406,300.3147005049206,59.2568224454961,12.946822031843524,19.650231305441384,682.0588798900907,0.030135506439658323
11.447328114668462,18.091541551184193,1.8689179983130126,2987.2164161033043,5625.759076097771,1.4493701879336718,0.75,728.6550163991515,305.11760662216074,300.3337150152137,59.283052114479474,12.706122293309722,19.034851529297526,693.5371988581517,0.022979550982288283
11.954357525879189,18.287611324320995,1.8892483039973995,2985.9737414268407,5507.150452827183,1.470983218069728,0.75,720.9912794249238,305.2046397162744,300.3516829707903,59.30782585908699,12.473599191259483,18.444043961107848,705.2363857880667,0.015913776425801614
12.4596100715347,18.482330064449403,1.9089402845801555,2984.768269599398,5393.11155554712,1.492447322052313,0.75,713.5657327665035,305.27077788712296,300.36867581734623,59.331243989787204,12.248848646381417,17.8764160351961,717.1650445173306,0.00893604577311323
12.963085751634992,18.675697771569403,1.9280334294835144,2983.5979340039385,5283.404383739745,1.513762499881425,0.75,797.3380147608605,412.3081733834145,300.24713862729635,59.353398325756196,11.550895241323378,17.485308075173236,722.8822264898446,0.0020443257717742054
13.464784566180073,18.867714445681013,1.9465631711468088,2982.4608636631424,5177.807041491468,1.5349287515570662,0.75,791.5364686595426,413.39700999870684,300.0612244255005,59.37455783903397,11.344183759825073,17.172829122156077,725.8861467429173,-0.004511184517372928
13.964706515169937,19.058380086784226,1.9645601152217778,2981.3554392250035,5076.113011735344,1.5559460770792362,0.75,785.8913661051591,414.4105744931219,299.87288436699816,59.39485871219334,11.144423748361119,16.87241663768259,728.8308458743552,-0.010989254117886923
14.462851598604585,19.24769469487904,1.9820563342134139,2980.2799133330664,4978.12705529272,1.5768144764479342,0.75,780.3966783987819,415.35340338840746,299.6823217898028,59.41435215603081,10.951298250311233,16.58341444794608,731.7184819552002,-0.017391628759449877
